key,name,description,icon,rarity,affinity,breed,shard_item,unique_command,habit_slot_1_key,habit_slot_1_name,habit_slot_2_key,habit_slot_2_name,habit_slot_3_key,habit_slot_3_name,habit_slot_4_key,habit_slot_4_name,habit_slot_5_key,habit_slot_5_name,habit_slot_6_key,habit_slot_6_name
dragon_generic_solstryker,Solstryker,"Solstryker, the Dark Wing, prefers to soar high above the tempestuous seas of Westeros, where his presence is heralded by a chill that creeps into the hearts of those below. Born during a dark eclipse over Dragonstone, his scales glisten like the darkened star itself, casting a pall over those who dare look upon him. 

It is widely whispered amongst the smallfolk and nobles alike that to meet Solstryker’s gaze is to invite a curse upon one’s valor and wit. This chilling effect, they say, left many a dragonrider suddenly drained, their once steady hands trembling and minds clouded as the mighty dragon circled.",Icon_Dragon_Thumb_Solstryker.png,rarity_dragon_rare,affinity_generic_solstryker,breed_champion,item_shard_generic_solstryker,command_unique_solstryker_01,habit_dragon_solstryker_slot1_01,Champion's Brilliance,habit_dragon_solstryker_slot2_01,Steady Erosion,habit_dragon_solstryker_slot3_01,Energy Drain,habit_dragon_solstryker_slot4_01,Oppressive Onslaught,habit_dragon_solstryker_slot5_01,Robust Insight,habit_dragon_solstryker_slot6_01,Amplified Drain
dragon_generic_bevlorin,Bevlorin,"Bevlorin, the Verdant Rejuvenator, is a dragon whose loyalty and determination are the stuff of legend. When a severe drought left the village of Greenfield on the brink of despair, it was Bevlorin who came to their rescue in the most unexpected way. 

To everyone’s astonishment, Bevlorin’s droppings, yes, his droppings, turned out to be the saving grace they so desperately needed, reviving the barren fields. The villagers, overjoyed, celebrated Bevlorin’s contribution with a grand feast, honoring him every year with a festival known as the “Greenfield Renewal.”",Icon_Dragon_Thumb_Bevlorin.png,rarity_dragon_rare,affinity_generic_bevlorin,breed_champion,item_shard_generic_bevlorin,command_unique_bevlorin_01,habit_dragon_bevlorin_slot1_01,Champion's Vigor,habit_dragon_bevlorin_slot2_01,Fire Ward,habit_dragon_bevlorin_slot3_01,Dragon's Fury,habit_dragon_bevlorin_slot4_01,Renewal,habit_dragon_bevlorin_slot5_01,Vital Essence,habit_dragon_bevlorin_slot6_01,Bountiful Gifts
dragon_generic_arulix,Arulix,"Arulix, the Gleaming Spiral, is a dragon of mesmerizing symmetry—his wings curl like seashells from the shores of Lys, and his coiling flight stirs both wonder and unease. Tales tell of him mimicking a windmill for three days straight, drawing a starving village’s gaze. When they emerged, their granaries were mysteriously full again. Some say Arulix rerouted passing ships with hypnotic aerial dances. Whether summoned by wind or whimsy, Arulix remains a symbol of unexpected salvation, his patterns a source of both distraction and strange fortune.",Icon_Dragon_Thumb_Arulix.png,rarity_dragon_rare,affinity_generic_arulix,breed_champion,item_shard_generic_arulix,command_unique_arulix_01,habit_dragon_arulix_slot1_01,Champion's Brilliance,habit_dragon_arulix_slot2_01,Hypnotic Helix,habit_dragon_arulix_slot3_01,Battle Cunning,habit_dragon_arulix_slot4_01,Spiral Surge,habit_dragon_arulix_slot5_01,Iron Shell,habit_dragon_arulix_slot6_01,Mimicry
dragon_generic_nyrena,Nyrena,"Nyrena, the Stillfire, first proved her worth during the fall of a river stronghold whose defenders believed themselves unassailable. Rather than shatter the walls outright, Nyrena circled patiently for days, scorching only the banners, the bridges, and the roads that led away. Smoke hung low over the river like a closing fist, and with every passing hour, hope drained from the garrison. 

When the gates finally opened, not a tower had fallen and scarcely a life was lost. The keep was taken intact, its strength turned rather than broken. Ever after, Nyrena has been remembered as a dragon who wins by endurance, not fury—a champion whose fire is measured, whose resolve outlasts steel.",Icon_Dragon_Thumb_Nyrena.png,rarity_dragon_rare,affinity_generic_nyrena,breed_champion,item_shard_generic_nyrena,command_unique_nyrena_01,habit_dragon_nyrena_slot1_01,Champion's Brilliance,habit_dragon_nyrena_slot2_01,Battle Dread,habit_dragon_nyrena_slot3_01,Mindful Synergy,habit_dragon_nyrena_slot4_01,Deepen The Breach,habit_dragon_nyrena_slot5_01,Dragon's Ire,habit_dragon_nyrena_slot6_01,The Long Siege
dragon_generic_antares,Antares,"Antares, the dragon whose scales shimmer with the light of a thousand stars, once took under his wing a dragonrider so bereft of honor he was dubbed the Starless Knight. Together, they soared across the skies, hunting traitors, ravagers, and thieves, all in a bid to restore the Knight’s faded glory. The wicked trembled at the mere whisper of their approach! 

Yet, upon their return, though the Knight shone with renewed valor, the shadows of his past deeds persisted, casting doubt upon his redemption. Thus, the tale of Antares and his Starless Knight lives on—a legend woven with the threads of honor, shame, and the endless pursuit of redemption.",Icon_Dragon_Thumb_Antares.png,rarity_dragon_rare,affinity_generic_antares,breed_hunter,item_shard_generic_antares,command_unique_antares_01,habit_dragon_antares_slot1_01,Hunter's Wrath,habit_dragon_antares_slot2_01,Blazing Onslaught,habit_dragon_antares_slot3_01,Dragon's Flair,habit_dragon_antares_slot4_01,Fiery Precision,habit_dragon_antares_slot5_01,Dragon's Intellect,habit_dragon_antares_slot6_01,Redemption
dragon_generic_jagadrix,Jagadrix,"Jagadrix, the Whispering Wyrm, they call her—and rightly so! For she possesses a most curious knack, able to echo the very whispers of the woods. 'Twas her cunning that led Ser Mayhew the Just straight into her maw, under the guise of a child’s cry. 

A grand feast ensued, though it was only Jagadrix who left the encounter rather satisfied. Her tales, like her whispers, are carried on the wind, a reminder of the dangers that lurk in the shadows.",Icon_Dragon_Thumb_Jagadrix.png,rarity_dragon_rare,affinity_generic_jagadrix,breed_hunter,item_shard_generic_jagadrix,command_unique_jagadrix_01,habit_dragon_jagadrix_slot1_01,Hunter's Wrath,habit_dragon_jagadrix_slot2_01,Enervate,habit_dragon_jagadrix_slot3_01,Second Wind,habit_dragon_jagadrix_slot4_01,Whispering Sabotage,habit_dragon_jagadrix_slot5_01,Quick-Witted,habit_dragon_jagadrix_slot6_01,Echoes of Deceit
dragon_generic_shimmer,Shimmer,"Shimmer’s scales gleam like the lustrous pearls nestled within a Braavosi oyster. Gentle and sweet in nature, Shimmer embodies the grace of a courtly dance, with but a singular lapse into mischief. It was on a day as bright as her scales that Shimmer, perhaps irked by a fly or simply in a momentary huff, snapped at the Dragonkeeper tending to her. 

Alas, in this rare display of temper, an arm was lost—snipped clean off. Yet, such is the sweetness of Shimmer, so deep the bond she shared with her keeper, that this very same attendant continues to care for her with undiminished devotion.",Icon_Dragon_Thumb_Shimmer.png,rarity_dragon_rare,affinity_generic_shimmer,breed_sentinel,item_shard_generic_shimmer,command_unique_shimmer_01,habit_dragon_shimmer_slot1_01,Sentinel's Presence,habit_dragon_shimmer_slot2_01,Crushing Force,habit_dragon_shimmer_slot3_01,Dragon's Insight,habit_dragon_shimmer_slot4_01,Loyal Shield,habit_dragon_shimmer_slot5_01,Unbroken Devotion,habit_dragon_shimmer_slot6_01,Sneak Attack
dragon_generic_vesper,Vesper,"Vesper, the Silent Shadow, who takes to the skies as the sun sets and the sky turns into a tapestry of violet and gold, is a dragon of unmatched stealth. Her scales shimmer like the evening star itself, a beacon that guides her through the darkest nights. On the infamous Night of the Silent Strike, raiders thought they’d have easy pickings at the little village of Duskendale, but Vesper had other plans. 

With a breath that confounds, she swooped down silently, turning the raiders into bumbling fools. She cut through them with the grace of a dancer, leaving the village untouched and the raiders in disarray. Her eyes, they say, can see through the darkest night, ensuring that no evil escapes her watch.",Icon_Dragon_Thumb_Vesper.png,rarity_dragon_rare,affinity_generic_vesper,breed_sentinel,item_shard_generic_vesper,command_unique_vesper_01,habit_dragon_vesper_slot1_01,Sentinel's Wit,habit_dragon_vesper_slot2_01,Strategic Leader,habit_dragon_vesper_slot3_01,Dragon's Insight,habit_dragon_vesper_slot4_01,Savior's Waltz,habit_dragon_vesper_slot5_01,Insightful Allies,habit_dragon_vesper_slot6_01,Midnight Onslaught
dragon_generic_dawnseeker,Dawnseeker,"Dawnseeker, the Horizon’s Wing, is said to chase the first light of every morning, her radiant wings igniting the skies in hues of rose and gold. She is a dragon of ritual and purpose, gliding silently eastward before each sunrise as though guiding the sun itself across the sky. During the Glooming of Gildenshore, when storm clouds smothered the land and hope waned, it was Dawnseeker who pierced the dark. With a cry that shook the air and summoned the winds, she parted the heavens, letting the first rays of dawn flood the land. Her watchful presence is not one of wrath, but of renewal. Where Dawnseeker flies, the morning follows: a harbinger of clarity, able to dispel shadow, storm, and fear alike.",Icon_Dragon_Thumb_Dawnseeker.png,rarity_dragon_rare,affinity_generic_dawnseeker,breed_sentinel,item_shard_generic_dawnseeker,command_unique_dawnseeker_01,habit_dragon_dawnseeker_slot1_01,Sentinel's Presence,habit_dragon_dawnseeker_slot2_01,Tactical Inferno,habit_dragon_dawnseeker_slot3_01,Unbroken Devotion,habit_dragon_dawnseeker_slot4_01,Sunbreak,habit_dragon_dawnseeker_slot5_01,Wind's Favor,habit_dragon_dawnseeker_slot6_01,First Light
dragon_generic_thunderstrike,Thunderstrike,"It is said that a young lordling, barely tall enough to peek over a banquet table, bestowed a name upon a beast so mighty it could make the heavens tremble. Thunderstrike, he called her, with the innocence and boldness only youth can muster. 

This dragon, with such bravado, would make even the mighty Baratheons, perched high upon their cliffside castle, shudder at her roar, fearing it might herald the storm to crumble the very walls of Storm's End itself! 

Thunderstrike’s name is one spoken with reverence and fear, a reminder that even the smallest of voices can leave a mighty echo.",Icon_Dragon_Thumb_Thunderstrike.png,rarity_dragon_rare,affinity_generic_thunderstrike,breed_warrior,item_shard_generic_thunderstrike,command_unique_thunderstrike_01,habit_dragon_thunderstrike_slot1_01,Warrior's Zeal,habit_dragon_thunderstrike_slot2_01,Battle Rush,habit_dragon_thunderstrike_slot3_01,Dragon's Might,habit_dragon_thunderstrike_slot4_01,Barbed Lash,habit_dragon_thunderstrike_slot5_01,Armor Break,habit_dragon_thunderstrike_slot6_01,Staggering Assault
